record_type|record_id|source_year|source_file|source_sheet|row_number|programme|key_output|key_indicator|annual_target|achieved_output|variance|status|comment|source_url|source_name|retrieved_at
performance_record|performance_budget_performance_by_program_0169|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|172|||1 Number of Dredgers serviced and maintained|1|1|1|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0170|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|173|Agricultural Services||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0171|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|174||01 Crop Production promoted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0172|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|175|||1 Number of small scale Farmers trained in smart agriculture technology|3500||3500|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0173|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|176|||2 Number of demo plots established and functionalised|20||20|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0174|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|177||02 Irrigation systems promoted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0175|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|178|||1 Number of farmers trained in irrigation technologies|100||100|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0176|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|179||03 Use of farm power and mechanisation promoted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0177|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|180|||1 Number of farmers trained in farm power and mechanisation|250||250|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_budget_performance_by_program_0178|2024-2025|kafue_2024_2025_performance.xlsx|Budget performance by Program|181||04 Good land husbandry and conservation practices promoted|||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
